date,maturity,cofDiv100pct,cofDivMarket
2025-05-21,3M,0.00414,0.00285
2025-05-21,6M,0.00486,0.00345
2025-05-21,1Y,0.00704,0.00383
2025-05-21,2Y,0.00751,0.00433
2025-05-28,3M,0.00394,0.00278
2025-05-28,6M,0.00495,0.00351
2025-05-28,1Y,0.00716,0.00373
2025-05-28,2Y,0.00758,0.00436
2025-06-04,3M,0.00451,0.00324
2025-06-04,6M,0.00503,0.00342
2025-06-04,1Y,0.00734,0.00366
2025-06-04,2Y,0.00758,0.00429
2025-06-11,3M,0.00386,0.00287
2025-06-11,6M,0.00491,0.0032
2025-06-11,1Y,0.00783,0.00347
2025-06-11,2Y,0.00861,0.00419
2025-06-18,3M,0.00348,0.00246
2025-06-18,6M,0.00453,0.00278
2025-06-18,1Y,0.0076,0.00314
2025-06-18,2Y,0.00824,0.00373
2025-06-25,3M,0.00289,0.00211
2025-06-25,6M,0.00428,0.00269
2025-06-25,1Y,0.00715,0.00282
2025-06-25,2Y,0.00819,0.00378
2025-07-02,3M,0.0037,0.00222
2025-07-02,6M,0.00469,0.003
2025-07-02,1Y,0.00767,0.00333
2025-07-02,2Y,0.00843,0.00403
2025-07-09,3M,0.00398,0.00233
2025-07-09,6M,0.00473,0.00299
2025-07-09,1Y,0.00769,0.00338
2025-07-09,2Y,0.0083,0.00398
2025-07-16,3M,0.00395,0.00217
2025-07-16,6M,0.00475,0.00296
2025-07-16,1Y,0.00803,0.00359
2025-07-16,2Y,0.00852,0.00407
2025-07-23,3M,0.00392,0.00246
2025-07-23,6M,0.00515,0.00342
2025-07-23,1Y,0.00805,0.00362
2025-07-23,2Y,0.0086,0.00415
2025-07-30,3M,0.00452,0.00281
2025-07-30,6M,0.00574,0.00408
2025-07-30,1Y,0.00836,0.00397
2025-07-30,2Y,0.0093,0.00482
2025-08-06,3M,0.00442,0.00283
2025-08-06,6M,0.00552,0.00389
2025-08-06,1Y,0.0085,0.00398
2025-08-06,2Y,0.00905,0.00444
2025-08-13,3M,0.00433,0.00285
2025-08-13,6M,0.00613,0.00405
2025-08-13,1Y,0.00834,0.00393
2025-08-13,2Y,0.00912,0.00462
2025-08-20,3M,0.00433,0.00288
