bbg_name,isin,ric_attempt,resolution_method
NTES US,US64110W1027,NTES.OQ,rule
NXPI US,US62914V1061,NXPI.OQ,rule
NYY US,US6494451036,NYY.O@RIC,rule
OXY US,US6745991058,OXY.O@RIC,rule
PFE US,US7170811035,PFE.O@RIC,rule
PG US,US7427181091,PG.O@RIC,rule
PM US,US7181721090,PM.O@RIC,rule
PYPL US,US70450Y1038,PYPL.OQ,rule
QCOM US,US7475251036,QCOM.OQ,rule
REX US,US76146X1046,REX.A,rule
RIO AU,AU000000RIO1,RIO.AX@RIC,rule
SBUX US,US8552441094,SBUX.OQ,rule
SGEN US,US8120051080,SGEN.O@RIC,rule
SHEL LN,GB00BP6MXD84,SHEL.L,rule
SHOP CA,CA82509L1076,SHOP.TO,rule
SLB US,US8068571082,SLB.O@RIC,rule
SNA US,US8330341012,SNA.O@RIC,rule
SNOW US,US8334451098,SNOW.OQ,rule
SNY US,FR0000120578,SNY.OQ,rule
SO US,US8425871071,SO.O@RIC,rule
SPG US,US8288061091,SPG.O@RIC,rule
SQ US,US0937121064,SQ.OQ,rule
STLA IM,NL00150001Q9,STLAM.MI@RIC,rule
SU CA,CA8672241079,SU.TO,rule
T US,US00206R1023,T.O@RIC,rule
TD CA,CA8911605093,TD.TO,rule
TGT US,US87612E1064,TGT.O@RIC,rule
TM US,JP3633400001,TM.O@RIC,rule
TRV US,US89417E1091,TRV.O@RIC,rule
TSLA US,US88160R1014,TSLA.OQ,rule
TWTR US,US90184L1026,TWTR.O@RIC,rule
TXN US,US8825081040,TXN.OQ,rule
UNH US,US91324P1021,UNH.O@RIC,rule
V US,US92826C8394,V.O@RIC,rule
VDE US,US9219395064,VDE.P@RIC,rule
VHT US,US92204A7020,VHT.P@RIC,rule
VNQ US,US9229085538,VNQ.P@RIC,rule
VOO US,US9229083632,VOO.P@RIC,rule
VWO US,US9219438584,VWO.P@RIC,rule
VXX US,US4642882341,VXX.O@RIC,rule
