date,from_maturity,to_maturity,fwdCofDiv100pct,fwdCofDivMarket
2024-10-09,2Y,6M,0.008508394160583943,0.0037733941605839413
2024-10-09,2Y,1Y,0.008030000000000002,0.00373
2024-10-16,6M,3M,0.008684222222222223,0.0036806666666666667
2024-10-16,1Y,3M,0.008177985347985348,0.0030459340659340656
2024-10-16,1Y,6M,0.007929016393442621,0.0027337704918032777
2024-10-16,2Y,3M,0.008161974921630096,0.003477335423197492
2024-10-16,2Y,6M,0.008076204379562043,0.0034439416058394162
2024-10-16,2Y,1Y,0.008150000000000001,0.0038
2024-10-23,6M,3M,0.009047555555555553,0.003974888888888889
2024-10-23,1Y,3M,0.008492014652014653,0.003357032967032967
2024-10-23,1Y,6M,0.008218797814207649,0.003053169398907103
2024-10-23,2Y,3M,0.008244858934169281,0.0035131974921630096
2024-10-23,2Y,6M,0.008113029197080292,0.0034373722627737222
2024-10-23,2Y,1Y,0.008060000000000001,0.00363
2024-10-30,6M,3M,0.009785555555555554,0.003878
2024-10-30,1Y,3M,0.008408424908424908,0.0034993040293040296
2024-10-30,1Y,6M,0.007731147540983604,0.0033130601092896178
2024-10-30,2Y,3M,0.008220532915360502,0.0036999373040752354
2024-10-30,2Y,6M,0.007963503649635035,0.003670693430656934
2024-10-30,2Y,1Y,0.00808,0.00385
2024-11-06,6M,3M,0.010006966292134831,0.003641685393258427
2024-11-06,1Y,3M,0.008321465201465202,0.0033846153846153852
2024-11-06,1Y,6M,0.007506195652173913,0.003260271739130435
2024-11-06,2Y,3M,0.008206206896551726,0.003702351097178684
2024-11-06,2Y,6M,0.007914280510018216,0.0037121857923497273
2024-11-06,2Y,1Y,0.00812,0.003940000000000001
2024-11-13,6M,3M,0.010505056179775282,0.0037651685393258415
2024-11-13,1Y,3M,0.008237875457875458,0.003608827838827838
2024-11-13,1Y,6M,0.007141250000000001,0.0035332065217391303
2024-11-13,2Y,3M,0.00819332288401254,0.004090062695924765
2024-11-13,2Y,6M,0.00781856102003643,0.0041427322404371586
2024-11-13,2Y,1Y,0.00816,0.00445
2024-11-20,6M,3M,0.010992808988764046,0.004434044943820224
2024-11-20,1Y,3M,0.008150915750915751,0.004186739926739927
2024-11-20,1Y,6M,0.006776304347826088,0.004067119565217393
2024-11-20,2Y,3M,0.008178996865203762,0.004594796238244514
2024-11-20,2Y,6M,0.007722841530054644,0.004620856102003643
2024-11-20,2Y,1Y,0.008199999999999999,0.0049
2024-11-27,6M,3M,0.01151123595505618,0.004002696629213484
2024-11-27,1Y,3M,0.008067326007326008,0.003957069597069597
2024-11-27,1Y,6M,0.006401521739130435,0.003934999999999999
2024-11-27,2Y,3M,0.008154670846394985,0.004382100313479624
2024-11-27,2Y,6M,0.007610528233151184,0.004443606557377049
2024-11-27,2Y,1Y,0.00822,0.0047
2024-12-04,6M,3M,0.014199565217391304,0.004899130434782609
2024-12-04,1Y,3M,0.009636545454545453,0.004616727272727272
2024-12-04,1Y,6M,0.007342568306010927,0.004474754098360656
2024-12-04,2Y,3M,0.0095871875,0.00491515625
2024-12-04,2Y,6M,0.008812846715328466,0.004917846715328467
2024-12-04,2Y,1Y,0.00955,0.00514
2024-12-11,6M,3M,0.01363630434782609,0.003405217391304349
2024-12-11,1Y,3M,0.009030363636363637,0.00405
2024-12-11,1Y,6M,0.006714808743169397,0.00437415300546448
2024-12-11,2Y,3M,0.009246875,0.0045975
2024-12-11,2Y,6M,0.008509963503649635,0.004797664233576642
2024-12-11,2Y,1Y,0.00941,0.00501
2024-12-18,6M,3M,0.014222173913043477,0.003161956521739132
2024-12-18,1Y,3M,0.008709454545454548,0.003782909090909091
2024-12-18,1Y,6M,0.005938032786885247,0.004095081967213114
2024-12-18,2Y,3M,0.00896640625,0.00432875
2024-12-18,2Y,6M,0.00808405109489051,0.004524635036496349
2024-12-18,2Y,1Y,0.00916,0.004739999999999999
2025-01-08,6M,3M,0.014886043956043957,0.0037580219780219784
2025-01-08,1Y,3M,0.008031636363636364,0.003346909090909091
2025-01-08,1Y,6M,0.004641684782608696,0.0031435869565217397
2025-01-08,2Y,3M,0.008173281249999999,0.0036281250000000003
2025-01-08,2Y,6M,0.007060601092896173,0.0036065938069216757
2025-01-08,2Y,1Y,0.00828,0.0038399999999999997
2025-01-15,6M,3M,0.012264175824175822,0.0013245054945054942
2025-01-15,1Y,3M,0.007908545454545455,0.003286363636363636
2025-01-15,1Y,6M,0.005754402173913045,0.004256630434782608
